Num	Gene_ID
340	ENSG00000100979
341	ENSG00000100983
342	ENSG00000100994
343	ENSG00000100997
344	ENSG00000101109
345	ENSG00000101146
346	ENSG00000101160
347	ENSG00000101213
348	ENSG00000101224
349	ENSG00000101255
350	ENSG00000101290
351	ENSG00000101333
352	ENSG00000101365
353	ENSG00000101444
354	ENSG00000101473
355	ENSG00000101558
356	ENSG00000101577
357	ENSG00000101782
358	ENSG00000101846
359	ENSG00000101868
360	ENSG00000101890
361	ENSG00000101901
362	ENSG00000101911
363	ENSG00000101945
364	ENSG00000101986
365	ENSG00000102010
366	ENSG00000102030
367	ENSG00000102078
368	ENSG00000102096
369	ENSG00000102100
370	ENSG00000102125
371	ENSG00000102144
372	ENSG00000102172
373	ENSG00000102225
374	ENSG00000102312
375	ENSG00000102393
376	ENSG00000102572
377	ENSG00000102595
378	ENSG00000102743
379	ENSG00000102882
380	ENSG00000102900
381	ENSG00000102967
382	ENSG00000102978
383	ENSG00000103024
384	ENSG00000103064
385	ENSG00000103066
386	ENSG00000103202
387	ENSG00000103222
388	ENSG00000103253
389	ENSG00000103257
390	ENSG00000103375
391	ENSG00000103415
392	ENSG00000103485
393	ENSG00000103502
394	ENSG00000103569
395	ENSG00000103653
396	ENSG00000104205
397	ENSG00000104219
398	ENSG00000104312
399	ENSG00000104325
400	ENSG00000104331
401	ENSG00000104522
402	ENSG00000104524
403	ENSG00000104549
404	ENSG00000104635
405	ENSG00000104687
406	ENSG00000104695
407	ENSG00000104723
408	ENSG00000104774
409	ENSG00000104812
410	ENSG00000104823
411	ENSG00000104879
412	ENSG00000104936
413	ENSG00000105198
414	ENSG00000105204
415	ENSG00000105220
416	ENSG00000105223
417	ENSG00000105254
418	ENSG00000105258
419	ENSG00000105281
420	ENSG00000105287
421	ENSG00000105355
422	ENSG00000105379
423	ENSG00000105397
424	ENSG00000105398
425	ENSG00000105426
426	ENSG00000105520
427	ENSG00000105552
428	ENSG00000105568
429	ENSG00000105607
430	ENSG00000105639
431	ENSG00000105647
432	ENSG00000105655
433	ENSG00000105669
434	ENSG00000105810
435	ENSG00000105835
436	ENSG00000105854
437	ENSG00000105953
438	ENSG00000105976
439	ENSG00000106049
440	ENSG00000106105
441	ENSG00000106302
442	ENSG00000106304
443	ENSG00000106348
444	ENSG00000106392
445	ENSG00000106462
446	ENSG00000106605
447	ENSG00000106628
448	ENSG00000106636
449	ENSG00000106648
450	ENSG00000106683
451	ENSG00000106688
452	ENSG00000106733
453	ENSG00000106799
454	ENSG00000106853
455	ENSG00000106976
456	ENSG00000106992
457	ENSG00000107140
458	ENSG00000107242
459	ENSG00000107537
460	ENSG00000107643
461	ENSG00000107758
462	ENSG00000107779
463	ENSG00000107789
464	ENSG00000107798
465	ENSG00000107819
466	ENSG00000107902
467	ENSG00000107951
468	ENSG00000107968
469	ENSG00000108439
470	ENSG00000108443
471	ENSG00000108468
472	ENSG00000108474
473	ENSG00000108479
474	ENSG00000108528
475	ENSG00000108559
476	ENSG00000108784
477	ENSG00000108799
478	ENSG00000108861
479	ENSG00000108946
480	ENSG00000109065
481	ENSG00000109107
482	ENSG00000109181
483	ENSG00000109193
484	ENSG00000109390
485	ENSG00000109576
486	ENSG00000109586
487	ENSG00000109610
488	ENSG00000109743
489	ENSG00000109814
490	ENSG00000109854
491	ENSG00000109861
492	ENSG00000109929
493	ENSG00000110066
494	ENSG00000110080
495	ENSG00000110090
496	ENSG00000110243
497	ENSG00000110328
498	ENSG00000110422
499	ENSG00000110435
500	ENSG00000110536
501	ENSG00000110583
502	ENSG00000110619
503	ENSG00000110713
504	ENSG00000110717
505	ENSG00000110719
506	ENSG00000110721
507	ENSG00000110871
508	ENSG00000110911
509	ENSG00000110921
510	ENSG00000110931
511	ENSG00000110955
512	ENSG00000110958
513	ENSG00000111077
514	ENSG00000111144
515	ENSG00000111237
516	ENSG00000111266
517	ENSG00000111275
518	ENSG00000111339
519	ENSG00000111371
520	ENSG00000111445
521	ENSG00000111581
522	ENSG00000111640
523	ENSG00000111666
524	ENSG00000111669
525	ENSG00000111674
526	ENSG00000111684
527	ENSG00000111713
528	ENSG00000111716
529	ENSG00000111726
530	ENSG00000111775
531	ENSG00000111885
532	ENSG00000111962
533	ENSG00000112062
534	ENSG00000112079
535	ENSG00000112144
536	ENSG00000112245
537	ENSG00000112294
538	ENSG00000112299
539	ENSG00000112303
540	ENSG00000112304
541	ENSG00000112367
542	ENSG00000112655
543	ENSG00000112679
544	ENSG00000112695
545	ENSG00000112699
546	ENSG00000112739
547	ENSG00000112742
548	ENSG00000112759
549	ENSG00000112874
550	ENSG00000112893
551	ENSG00000112941
552	ENSG00000112972
553	ENSG00000112992
554	ENSG00000113073
555	ENSG00000113161
556	ENSG00000113273
557	ENSG00000113407
558	ENSG00000113456
559	ENSG00000113504
560	ENSG00000113532
561	ENSG00000113552
562	ENSG00000113569
563	ENSG00000113575
564	ENSG00000113643
565	ENSG00000113657
