Num	Met_ID	Met_name
116	m00063m	(2E)-pentenoyl-CoA
117	m00064c	(2E)-tetracosenoyl-CoA
118	m00064p	(2E)-tetracosenoyl-CoA
119	m00065c	(2E)-tetradecenoyl-[ACP]
120	m00066m	(2E)-tetradecenoyl-CoA
121	m00066p	(2E)-tetradecenoyl-CoA
122	m00067c	(2E)-tricosenoyl-CoA
123	m00068c	(2E)-tridecenoyl-[ACP]
124	m00069m	(2E)-tridecenoyl-CoA
125	m00070c	(2E)-undecenoyl-[ACP]
126	m00071m	(2E)-undecenoyl-CoA
127	m00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA
128	m00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA
129	m00074c	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
130	m00075p	(2R)-pristanoyl-CoA
131	m00076p	(2R,6R,10R)-trimethyl-hendecanoyl-CoA
132	m00077p	(2R,6S,10S)-pristanate
133	m00078p	(2S)-pristanoyl-CoA
134	m00079p	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA
135	m00080p	(2S,6R,10R)-trimethyl-hendecanoyl-CoA
136	m00081m	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA
137	m00081p	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA
138	m00082m	(3S)-3-hydroxydodec-cis-6-enoyl-CoA
139	m00082p	(3S)-3-hydroxydodec-cis-6-enoyl-CoA
140	m00083m	(3S)-3-hydroxylinoleoyl-CoA
141	m00083p	(3S)-3-hydroxylinoleoyl-CoA
142	m00085c	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA
143	m00086c	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA
144	m00087c	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA
145	m00088m	(3Z)-dodecenoyl-CoA
146	m00088p	(3Z)-dodecenoyl-CoA
147	m00089m	(3Z,7Z,10Z)-hexadecatrienoyl-CoA
148	m00090p	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA
149	m00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA
150	m00092c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine
151	m00092m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine
152	m00092r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine
153	m00093c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
154	m00093m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
155	m00093p	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
156	m00093r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
157	m00094c	(4Z,7Z,10Z,13Z,16Z)-DPA
158	m00094l	(4Z,7Z,10Z,13Z,16Z)-DPA
159	m00094r	(4Z,7Z,10Z,13Z,16Z)-DPA
160	m00094s	(4Z,7Z,10Z,13Z,16Z)-DPA
161	m00095c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
162	m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
163	m00095p	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
164	m00095r	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
165	m00097s	(5-L-glutamyl)-L-amino acid
166	m00098c	(5S,6S)-epoxy-(15R)-hydroxy-ETE
167	m00098p	(5S,6S)-epoxy-(15R)-hydroxy-ETE
168	m00098r	(5S,6S)-epoxy-(15R)-hydroxy-ETE
169	m00099m	(5Z)-dodecenoyl-CoA
170	m00099p	(5Z)-dodecenoyl-CoA
171	m00100c	(5Z,8Z,11Z)-eicosatrienoylcarnitine
172	m00100m	(5Z,8Z,11Z)-eicosatrienoylcarnitine
173	m00100r	(5Z,8Z,11Z)-eicosatrienoylcarnitine
174	m00101c	(5Z,8Z,11Z)-eicosatrienoyl-CoA
175	m00101m	(5Z,8Z,11Z)-eicosatrienoyl-CoA
176	m00101r	(5Z,8Z,11Z)-eicosatrienoyl-CoA
177	m00102c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
178	m00102m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
179	m00102r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
180	m00103c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
181	m00103m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
182	m00103r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
183	m00104c	(6Z,9Z)-octadecadienoic acid
184	m00104r	(6Z,9Z)-octadecadienoic acid
185	m00104s	(6Z,9Z)-octadecadienoic acid
186	m00105c	(6Z,9Z)-octadecadienoylcarnitine
187	m00105m	(6Z,9Z)-octadecadienoylcarnitine
188	m00106c	(6Z,9Z)-octadecadienoyl-CoA
189	m00106m	(6Z,9Z)-octadecadienoyl-CoA
190	m00106r	(6Z,9Z)-octadecadienoyl-CoA
191	m00107c	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
192	m00107m	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
193	m00107r	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
194	m00108c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
195	m00108m	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
196	m00108r	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA
197	m00109c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine
198	m00109r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine
199	m00110c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
200	m00110p	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
201	m00110r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA
202	m00111c	(6Z,9Z,12Z,15Z,18Z)-TPA
203	m00111r	(6Z,9Z,12Z,15Z,18Z)-TPA
204	m00111s	(6Z,9Z,12Z,15Z,18Z)-TPA
205	m00112c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine
206	m00112r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine
207	m00113c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
208	m00113p	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
209	m00113r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA
210	m00114c	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
211	m00114r	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
212	m00114s	(6Z,9Z,12Z,15Z,18Z,21Z)-THA
213	m00115c	(7Z)-octadecenoic acid
214	m00115s	(7Z)-octadecenoic acid
215	m00116c	(7Z)-octadecenoyl-CoA
216	m00116m	(7Z)-octadecenoyl-CoA
217	m00116r	(7Z)-octadecenoyl-CoA
218	m00117c	(7Z)-tetradecenoic acid
219	m00117r	(7Z)-tetradecenoic acid
220	m00117s	(7Z)-tetradecenoic acid
221	m00118c	(7Z)-tetradecenoyl-CoA
222	m00118m	(7Z)-tetradecenoyl-CoA
223	m00118p	(7Z)-tetradecenoyl-CoA
224	m00118r	(7Z)-tetradecenoyl-CoA
225	m00119c	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
226	m00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
227	m00119r	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA
228	m00120c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
229	m00120m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
230	m00120r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine
231	m00121c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
232	m00121m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
233	m00121r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA
234	m00122c	(8Z,11Z)-eicosadienoylcarnitine
235	m00122m	(8Z,11Z)-eicosadienoylcarnitine
236	m00122r	(8Z,11Z)-eicosadienoylcarnitine
237	m00123c	(8Z,11Z)-eicosadienoyl-CoA
238	m00123m	(8Z,11Z)-eicosadienoyl-CoA
239	m00123r	(8Z,11Z)-eicosadienoyl-CoA
240	m00124c	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
241	m00124m	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
242	m00124r	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine
243	m00125c	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
244	m00125m	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
245	m00125r	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
246	m00126c	(9E)-octadecenoylcarnitine
247	m00126m	(9E)-octadecenoylcarnitine
248	m00127c	(9E)-octadecenoyl-CoA
249	m00127m	(9E)-octadecenoyl-CoA
250	m00127r	(9E)-octadecenoyl-CoA
251	m00128c	(9E)-tetradecenoic acid
252	m00128r	(9E)-tetradecenoic acid
253	m00128s	(9E)-tetradecenoic acid
254	m00129c	(9E)-tetradecenoyl-CoA
255	m00129m	(9E)-tetradecenoyl-CoA
256	m00129r	(9E)-tetradecenoyl-CoA
257	m00130c	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine
258	m00130r	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine
259	m00131c	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
260	m00131p	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
261	m00131r	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA
262	m00132c	(9Z,12Z,15Z,18Z)-TTA
263	m00132r	(9Z,12Z,15Z,18Z)-TTA
264	m00132s	(9Z,12Z,15Z,18Z)-TTA
265	m00133c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine
266	m00133r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine
267	m00134c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
268	m00134p	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
269	m00134r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA
270	m00135c	(9Z,12Z,15Z,18Z,21Z)-TPA
271	m00135r	(9Z,12Z,15Z,18Z,21Z)-TPA
272	m00135s	(9Z,12Z,15Z,18Z,21Z)-TPA
273	m00138r	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
274	m00139r	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
275	m00140r	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
276	m00141l	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine
277	m00142g	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
278	m00143g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)
279	m00144g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)
280	m00145g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)
281	m00146g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)
282	m00147g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)
283	m00148g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)
284	m00149g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)
285	m00150g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)
286	m00151g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)
287	m00151r	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)
288	m00152g	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)
289	m00153g	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
290	m00153r	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)
291	m00154r	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1
292	m00157c	(R)-3-hydroxybutanoate
293	m00157m	(R)-3-hydroxybutanoate
294	m00157s	(R)-3-hydroxybutanoate
295	m00158c	(R)-3-hydroxybutanoyl-[ACP]
296	m00159m	(R)-3-hydroxybutanoyl-CoA
297	m00160c	(R)-3-hydroxydecanoyl-[ACP]
298	m00161c	(R)-3-hydroxyoctanoyl-[ACP]
299	m00162c	(R)-3-hydroxypalmitoyl-[ACP]
300	m00163c	(R)-4-phosphopantothenoyl-cysteine
301	m00163m	(R)-4-phosphopantothenoyl-cysteine
302	m00164c	(R)-5-diphosphomevalonate
303	m00165c	(R)-5-phosphomevalonate
304	m00166m	(R)-methylmalonyl-CoA
305	m00167c	(R)-mevalonate
306	m00167p	(R)-mevalonate
307	m00168c	(R)-S-lactoylglutathione
308	m00170m	(S)-3-hydroxy-11-cis-octadecenoyl-CoA
309	m00170p	(S)-3-hydroxy-11-cis-octadecenoyl-CoA
310	m00171m	(S)-3-hydroxy-2-methylbutyryl-CoA
311	m00172m	(S)-3-hydroxy-7-hexadecenoyl-CoA
312	m00172p	(S)-3-hydroxy-7-hexadecenoyl-CoA
313	m00173m	(S)-3-hydroxybutyryl-CoA
314	m00173p	(S)-3-hydroxybutyryl-CoA
315	m00174m	(S)-3-hydroxydodecanoyl-CoA
316	m00174p	(S)-3-hydroxydodecanoyl-CoA
317	m00175m	(S)-3-hydroxyhexadecanoyl-CoA
318	m00175p	(S)-3-hydroxyhexadecanoyl-CoA
319	m00176m	(S)-3-hydroxyoleyleoyl-CoA
320	m00176p	(S)-3-hydroxyoleyleoyl-CoA
321	m00177m	(S)-3-hydroxypalmitoleoyl-CoA
322	m00177p	(S)-3-hydroxypalmitoleoyl-CoA
323	m00178m	(S)-3-hydroxytetradecanoyl-CoA
324	m00178p	(S)-3-hydroxytetradecanoyl-CoA
325	m00179c	(S)-3-sulfolactate
326	m00179m	(S)-3-sulfolactate
327	m00180c	(S)-dihydroorotate
328	m00181m	(S)-hydroxydecanoyl-CoA
329	m00181p	(S)-hydroxydecanoyl-CoA
330	m00182m	(S)-hydroxyhexanoyl-CoA
331	m00182p	(S)-hydroxyhexanoyl-CoA
332	m00183m	(S)-hydroxyoctanoyl-CoA
