Num	Met_ID	Met_name
148	m00095c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
149	m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
150	m00095p	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
151	m00095r	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA
152	m00097s	(5-L-glutamyl)-L-amino acid
153	m00098c	(5S,6S)-epoxy-(15R)-hydroxy-ETE
154	m00098p	(5S,6S)-epoxy-(15R)-hydroxy-ETE
155	m00098r	(5S,6S)-epoxy-(15R)-hydroxy-ETE
156	m00099m	(5Z)-dodecenoyl-CoA
157	m00100c	(5Z,8Z,11Z)-eicosatrienoylcarnitine
158	m00100m	(5Z,8Z,11Z)-eicosatrienoylcarnitine
159	m00100r	(5Z,8Z,11Z)-eicosatrienoylcarnitine
160	m00101c	(5Z,8Z,11Z)-eicosatrienoyl-CoA
161	m00101m	(5Z,8Z,11Z)-eicosatrienoyl-CoA
162	m00101r	(5Z,8Z,11Z)-eicosatrienoyl-CoA
163	m00102c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
164	m00102m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
165	m00102r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine
166	m00103c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
167	m00103m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
168	m00103r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA
169	m00104c	(6Z,9Z)-octadecadienoic acid
170	m00104r	(6Z,9Z)-octadecadienoic acid
171	m00104s	(6Z,9Z)-octadecadienoic acid
172	m00105c	(6Z,9Z)-octadecadienoylcarnitine
173	m00105m	(6Z,9Z)-octadecadienoylcarnitine
174	m00106c	(6Z,9Z)-octadecadienoyl-CoA
175	m00106m	(6Z,9Z)-octadecadienoyl-CoA
176	m00106r	(6Z,9Z)-octadecadienoyl-CoA
177	m00107c	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine
