152	1
289	1
676	1
702	1
727	1
806	1
1061	1
1097	1
1185	1
1354	1
1385	1
1392	1
1456	1
1537	1
1743	1
1830	1
1906	1
1910	1
1955	1
152	2
466	2
727	2
806	2
1185	2
1551	2
1955	2
702	3
1061	3
1097	3
1354	3
1385	3
1392	3
1456	3
1537	3
1830	3
1906	3
152	4
289	4
292	4
495	4
676	4
727	4
806	4
1093	4
1185	4
1263	4
1517	4
1743	4
1909	4
1910	4
1955	4
280	5
108	6
152	6
280	6
727	6
806	6
1185	6
1481	6
1955	6
152	7
289	7
297	7
495	7
676	7
727	7
806	7
1185	7
1263	7
1517	7
1743	7
1909	7
1910	7
1911	7
1955	7
122	8
175	8
179	8
228	8
280	8
635	8
771	8
952	8
1463	8
1664	8
108	9
152	9
280	9
727	9
806	9
1185	9
1481	9
1955	9
46	10
139	10
152	10
289	10
297	10
495	10
661	10
676	10
727	10
806	10
1185	10
1263	10
1517	10
1547	10
1743	10
1843	10
1909	10
1910	10
1911	10
1955	10
179	11
228	11
280	11
635	11
952	11
1463	11
1664	11
46	12
108	12
152	12
280	12
727	12
806	12
1185	12
1481	12
1547	12
1843	12
1955	12
152	13
289	13
676	13
702	13
727	13
806	13
1061	13
1097	13
1185	13
1354	13
1385	13
1392	13
1456	13
1537	13
1743	13
1830	13
1906	13
1910	13
1955	13
152	14
466	14
727	14
806	14
1185	14
1551	14
1955	14
702	15
1061	15
1097	15
1354	15
1385	15
1392	15
1456	15
1537	15
1830	15
1906	15
46	16
139	16
152	16
289	16
297	16
495	16
661	16
676	16
727	16
806	16
1185	16
1263	16
1517	16
1547	16
1743	16
1843	16
1909	16
1910	16
1911	16
1955	16
122	17
175	17
179	17
228	17
280	17
635	17
771	17
952	17
1463	17
1664	17
108	18
139	18
152	18
280	18
727	18
806	18
1185	18
1481	18
1955	18
152	19
289	19
676	19
702	19
727	19
806	19
1061	19
1097	19
1185	19
1354	19
1385	19
1392	19
1456	19
1537	19
1743	19
1830	19
1906	19
1910	19
1955	19
152	20
466	20
727	20
806	20
1185	20
1551	20
1955	20
702	21
1061	21
1097	21
1354	21
1385	21
1392	21
1456	21
1537	21
1830	21
1906	21
495	22
1156	22
1517	22
1629	22
1673	22
1824	22
1909	22
280	23
1156	23
1629	23
1673	23
1824	23
280	24
46	25
139	25
152	25
289	25
297	25
495	25
661	25
676	25
727	25
806	25
1185	25
1263	25
1517	25
1547	25
1743	25
1843	25
1909	25
1910	25
1911	25
1955	25
122	26
175	26
179	26
228	26
280	26
635	26
771	26
952	26
1463	26
1664	26
108	27
152	27
280	27
727	27
806	27
1185	27
1481	27
1955	27
1244	28
1274	28
1275	28
46	29
139	29
152	29
289	29
297	29
495	29
661	29
676	29
727	29
806	29
1185	29
1263	29
1517	29
1547	29
1743	29
1843	29
1909	29
1910	29
1911	29
1955	29
179	30
280	30
635	30
1664	30
46	31
108	31
152	31
280	31
727	31
806	31
1185	31
1481	31
1547	31
1843	31
1955	31
152	32
289	32
676	32
702	32
727	32
806	32
1061	32
1097	32
1185	32
1354	32
1385	32
1392	32
1456	32
1537	32
1743	32
1830	32
1906	32
1910	32
1955	32
152	33
466	33
727	33
806	33
1185	33
1551	33
1955	33
702	34
1061	34
1097	34
1354	34
1385	34
1392	34
1456	34
1537	34
1830	34
1906	34
146	35
147	35
152	35
289	35
297	35
366	35
495	35
676	35
727	35
806	35
815	35
1185	35
1263	35
1517	35
1695	35
1743	35
1745	35
1761	35
1882	35
1909	35
1910	35
1911	35
1955	35
179	36
280	36
635	36
1664	36
146	37
147	37
242	37
366	37
815	37
1316	37
1695	37
1745	37
1761	37
1882	37
108	38
152	38
280	38
727	38
806	38
1185	38
1481	38
1955	38
152	39
289	39
676	39
702	39
727	39
806	39
1061	39
1097	39
1185	39
1354	39
1385	39
1392	39
1456	39
1537	39
1743	39
1830	39
1906	39
1910	39
1955	39
152	40
466	40
727	40
806	40
1185	40
1551	40
1955	40
702	41
1061	41
1097	41
1354	41
1385	41
1392	41
1456	41
1537	41
1830	41
1906	41
289	42
292	42
495	42
676	42
1093	42
1263	42
1517	42
1743	42
1909	42
1910	42
122	43
175	43
179	43
228	43
280	43
635	43
771	43
952	43
1463	43
1664	43
108	44
152	44
280	44
727	44
806	44
1185	44
1481	44
1955	44
152	45
289	45
676	45
702	45
727	45
